Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
785,Matt Benning,30,SJS,D,7,0,0,0,7,bennima01
786,Brendan Brisson,23,VEG,C,9,0,0,0,7,brissbr01
787,Kurtis MacDermid,30,NJD,LW,23,0,0,0,7,macdeku01
788,Oliver Kylington,27,2TM,D,19,1,4,5,6,kylinol01
789,Kyle Burroughs,29,LAK,D,33,0,3,3,6,burroky01
790,Nikita Chibrikov,21,WPG,RW,4,2,1,3,6,chibrni01
791,Tyler Johnson,34,BOS,C,9,0,2,2,6,johnsty01
792,Drake Caggiula,30,EDM,LW,7,0,1,1,6,caggidr01
793,Kevin Gravel,32,NSH,D,6,0,1,1,6,graveke01
794,Dakota Mermis,31,2TM,D,4,0,1,1,6,mermida01
795,Matthew Savoie,21,EDM,C,4,0,1,1,6,savoima01
796,Ilya Solovyov,24,CGY,D,5,0,1,1,6,solovil01
797,Samuel Honzek,20,CGY,LW,5,0,0,0,6,honzesa01
798,Caleb Jones,27,LAK,D,6,0,0,0,6,jonesca01
799,Tristan Luneau,21,ANA,D,6,0,0,0,6,luneatr01
800,Dryden Hunt,29,CGY,LW,5,0,3,3,5,huntdr01
801,Ivan Demidov,19,MTL,RW,2,1,1,2,5,demidiv01
802,Ethan Cardwell,22,SJS,RW,6,1,0,1,5,cardwet01
803,Lucas Condotta,27,MTL,F,7,1,0,1,5,condolu01
804,Nolan Foote,24,NJD,LW,7,0,1,1,5,footeno01
805,Helge Grans,22,PHI,D,6,0,1,1,5,granshe01
806,Arttu Hyry,23,DAL,F,5,0,1,1,5,hyryar01
807,William Lagesson,28,DET,D,7,0,1,1,5,lageswi01
808,Andrew Poturalski,31,SJS,C,3,0,1,1,5,poturan01
809,Dominik Shine,31,DET,F,9,0,1,1,5,shinedo01
810,T.J. Tynan,32,COL,C,9,0,1,1,5,tynant.01
811,Riley Duran,23,BOS,C,2,0,0,0,5,duranri01
812,Domenick Fensore,23,CAR,D,2,0,0,0,5,fensodo01
813,Jaycob Megna,32,FLA,D,8,0,0,0,5,megnaja02
814,Gabriel Perreault,19,NYR,RW,5,0,0,0,5,perrega01
815,Alexander Petrovic,32,DAL,D,5,0,0,0,5,petroal01
816,Givani Smith,26,2TM,RW,13,0,0,0,5,smithgi01
817,Clark Bishop,28,CGY,C,6,1,0,1,4,bishocl01
818,Ian Moore,23,ANA,D,3,0,1,1,4,mooreia01
819,Taylor Ward,26,LAK,F,1,1,0,1,4,wardta01
820,Ozzy Wiesblatt,22,NSH,RW,5,0,1,1,4,wiesboz01
821,Nathan Clurman,26,PIT,D,1,0,0,0,4,clurmna01
822,Karsen Dorwart,22,PHI,F,5,0,0,0,4,dorwaka01
823,Mark Friedman,29,VAN,D,5,0,0,0,4,friedma01
824,Ben Meyers,26,SEA,F,8,0,0,0,4,meyerbe01
825,Sonny Milano,28,WSH,LW,3,0,0,0,4,milanso01
826,Alexander Nylander,26,TOR,LW,5,0,0,0,4,nylanal01
827,Noah Ostlund,20,BUF,C,8,0,0,0,4,ostluno01
828,Nikita Prishchepov,20,COL,C,10,0,0,0,4,prishni01
829,Corey Schueneman,29,STL,D,4,0,0,0,4,schueco01
830,Jimmy Schuldt,29,SJS,D,8,0,0,0,4,schulja01
831,Matthew Stienburg,24,COL,C,8,0,0,0,4,stienma01
832,Rory Kerins,22,CGY,C,5,0,4,4,3,kerinro01
833,Justin Robidas,21,CAR,C,2,1,1,2,3,robidju01
834,Wyatt Aamodt,27,COL,D,2,1,0,1,3,aamodwy01
835,Sergei Bobrovsky,36,FLA,G,54,0,1,1,3,bobrose01
836,Declan Carlile,24,TBL,D,3,1,0,1,3,carlide01
837,Justin Hryckowian,23,DAL,F,5,0,1,1,3,hryckju01
838,Joseph LaBate,31,CBJ,C,6,0,1,1,3,labatjo01
839,Isaak Phillips,23,CHI,D,3,1,0,1,3,phillis01
840,Samuel Poulin,23,PIT,RW,7,0,1,1,3,poulisa01
841,Jacob Gaucher,23,PHI,F,4,0,0,0,3,gauchja01
842,Ryan Johnson,23,BUF,D,3,0,0,0,3,johnsry03
843,Nathan Legare,24,NJD,RW,3,0,0,0,3,legarna01
844,Jett Luchanko,18,PHI,F,4,0,0,0,3,luchaje01
845,Oskar Olausson,22,COL,RW,2,0,0,0,3,olausos01
846,Jason Polin,25,COL,F,2,0,0,0,3,polinja01
847,Conor Sheary,32,TBL,LW,5,0,0,0,3,shearco01
848,Jeffrey Viel,28,BOS,F,5,0,0,0,3,vielje01
849,Filip Gustavsson,26,MIN,G,58,1,1,2,2,gustafi01
850,Parker Ford,24,WPG,F,3,1,0,1,2,fordpa01
851,Mike Hardman,25,NJD,RW,2,0,1,1,2,hardmmi01
852,Tanner Laczynski,27,VEG,C,8,1,0,1,2,laczyta01
853,Zayne Parekh,18,CGY,D,1,1,0,1,2,parekza01
854,Justin Sourdif,22,FLA,RW,1,1,0,1,2,sourdju01
855,Rasmus Asplund,27,FLA,F,6,0,0,0,2,asplura01
856,Shane Bowers,25,NJD,C,4,0,0,0,2,bowersh01
857,Guillaume Brisebois,27,VAN,D,3,0,0,0,2,brisegu01
858,Frederic Brunet,21,BOS,D,1,0,0,0,2,brunefr01
859,Hunter Brzustewicz,20,CGY,D,1,0,0,0,2,brzushu01
